id,name,school_college,url,is_submajor
comparative-culture-and-identity-sub-major-of-international-studies--majors-minors-html-comparative-culture-and-identity,Comparative Culture and Identity (Sub-major of International Studies),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#comparative_culture_and_identity_cci-sub,True
comparative-literature-arts-and-media--majors-minors-html-comparative-literature-arts-and-media-maj,"Comparative Literature, Arts, and Media","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#comparative_literature_arts_and_media-maj,False
composition,Composition,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/department/composition/,False
computer-engineering,Computer Engineering,College of Engineering,https://ece.engin.umich.edu/academics/undergraduate/prospective-undergrad/computer-engineering/,False
computer-science-bs--majors-minors-html-computer-science-maj,Computer Science (BS),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#computer_science-maj,False
computer-science-bse--computer-science-eng,Computer Science (BSE),College of Engineering,https://cse.engin.umich.edu/academics/undergraduate/programs/computer-science-eng/,False
creative-writing-and-literature-administered-by-the-residential-college--majors-minors-html-creative-writing-and-literat,Creative Writing and Literature (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#creative_writing_and_literature-maj,False
culture-and-media-sub-major-of-anthropology--majors-minors-html-culture-and-media-sub,Culture and Media (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#culture_and_media-sub,True
dance--undergraduate-degrees-minors,Dance,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
data-science--preview,Data Science,College of Engineering,https://docs.google.com/spreadsheets/d/1Mets2NQ4i1ZY-4TNFfd7DpX2yU6h73bK673dgDiEEDA/preview,False
data-science-bs--majors-minors-html-data-science-maj,Data Science (BS),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#data_science-maj,False
dental-hygiene,Dental Hygiene,School of Dentistry,https://dent.umich.edu/about/dental-hygiene,False
drama-administered-by-the-residential-college--majors-minors-html-drama-maj,Drama (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#drama-maj,False
earth-and-environmental-sciences--majors-minors-html-earth-and-environmental-sciences-maj,Earth and Environmental Sciences,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#earth_and_environmental_sciences-maj,False
ecology-evolution-and-biodiversity--majors-minors-html-ecology-and-evolutionary-biology-eeb-maj,"Ecology, Evolution, and Biodiversity","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#ecology_and_evolutionary_biology_eeb-maj,False
economics--majors-minors-html-economics-maj,Economics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#economics-maj,False
electrical-engineering,Electrical Engineering,College of Engineering,https://ece.engin.umich.edu/academics/undergraduate/prospective-undergrad/electrical-engineering/,False
elementary-teacher-education--bachelors,Elementary Teacher Education,Marsal Family School of Education,https://marsal.umich.edu/academics-admissions/degrees/bachelors,False
engineering-physics--undergraduate-in-engineering-physics,Engineering Physics,College of Engineering,https://ners.engin.umich.edu/academics/undergraduate-in-engineering-physics/,False
english--majors-minors-html-english-maj,English,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#english-maj,False
environment--majors-minors-html-environment-maj,Environment,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#environment-maj,False
environment-and-conservation-sub-major-of-anthropology--majors-minors-html-environment-and-conservation-sub,Environment and Conservation (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#environment_and_conservation-sub,True
environmental-engineering--bse-degree-in-environmental-engineering,Environmental Engineering,College of Engineering,https://cee.engin.umich.edu/undergraduate-studies/bse-degree-in-environmental-engineering/,False
ethnic-studies-sub-major-of-american-culture--ethnic-studies-submajor-html,Ethnic Studies (Sub-major of American Culture),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors/ethnic-studies-submajor.html,True
film-television-and-media--majors-minors-html-screen-arts-and-cultures-maj,"Film, Television, and Media","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#screen_arts_and_cultures-maj,False
french-and-francophone-studies--majors-minors-html-french-and-francophone-studies-maj,French and Francophone Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#french_and_francophone_studies-maj,False
gender-and-health--majors-minors-html-gender-and-health-maj,Gender and Health,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#gender_and_health-maj,False
general-studies--majors-minors-html-general-studies-maj,General Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#general_studies-maj,False
german--majors-minors-html-german-maj,German,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#german-maj,False
global-environment-and-health-sub-major-of-international-studies--majors-minors-html-global-environment-and-health-geh-s,Global Environment and Health (Sub-major of International Studies),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#global_environment_and_health_geh-sub,True
greek-ancient-language-and-literature--majors-minors-html-greek-ancient-language-and-literature-maj,Greek (Ancient) Language and Literature,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#greek_ancient_language_and_literature-maj,False
greek-modern-language-and-culture--majors-minors-html-greek-modern-language-and-culture-maj,Greek (Modern) Language and Culture,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#greek_modern_language_and_culture-maj,False
history--majors-minors-html-history-maj,History,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#history-maj,False
history-of-art--majors-minors-html-history-of-art-maj,History of Art,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#history_of_art-maj,False
honors-mathematics-sub-major-of-mathematics--honors-mathematics-html,Honors Mathematics (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/math/undergraduates/major-and-minor-programs/honors-mathematics.html,True
human-origins-biology-and-behavior--majors-minors-html-human-origins-biology-and-behavior-maj,"Human Origins, Biology, and Behavior","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#human_origins_biology_and_behavior-maj,False
industrial-and-operations-engineering--undergrad-research,Industrial and Operations Engineering,College of Engineering,https://ioe.engin.umich.edu/current-students/undergrad-research/,False
information-analysis-and-design--curriculum,Information Analysis and Design,School of Information,https://www.si.umich.edu/programs/bachelor-science-information/curriculum,False
integrated-business-and-engineering-at-michigan--business-engineering-umich-edu,Integrated Business and Engineering at Michigan,College of Engineering,https://business-engineering.umich.edu,False
interarts-performance--undergraduate-degrees-minors,Interarts Performance,Stamps School of Art & Design,https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
interdisciplinary-astronomy--majors-minors-html-interdisciplinary-astronomy-ba-or-bs-maj,Interdisciplinary Astronomy,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#interdisciplinary_astronomy_ba_or_bs-maj,False
interdisciplinary-chemical-sciences--majors-minors-html-interdisciplinary-chemical-sciences-ics-ab-or-bs-maj,Interdisciplinary Chemical Sciences,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#interdisciplinary_chemical_sciences_ics_ab_or_bs-maj,False
interdisciplinary-physics--majors-minors-html-interdiscplinary-physics-ab-or-bs-maj,Interdisciplinary Physics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#interdiscplinary_physics_ab_or_bs-maj,False
